iter	Logloss
0	0.6393966064
1	0.5990189209
2	0.5705094808
3	0.5505897217
4	0.5364321289
5	0.5239439697
6	0.5151529948
7	0.507369873
8	0.5013926188
9	0.4963033447
10	0.4926382243
11	0.4879555664
12	0.48490389
13	0.4827220052
14	0.4802101644
15	0.4774510905
16	0.475291626
17	0.4737980957
18	0.4721678874
19	0.4708868815
20	0.4692599284
21	0.4678447266
22	0.4669881999
23	0.4652456868
24	0.4644468587
25	0.4637032878
26	0.4629674072
27	0.4621095785
28	0.4610929362
29	0.4597281494
30	0.4590298665
31	0.4579778646
32	0.4571603597
33	0.4564576009
34	0.4559971517
35	0.4549613037
36	0.4538361816
37	0.453101359
38	0.4521587321
39	0.4515336914
40	0.4507234294
41	0.4501573893
42	0.4493840332
43	0.4482582194
44	0.4469282633
45	0.4464390462
46	0.4456073812
47	0.4452294108
48	0.4442969564
49	0.4434109701
50	0.4427841797
51	0.442328125
52	0.4416229655
53	0.4405655518
54	0.4396442871
55	0.4391649984
56	0.4386531982
57	0.4379741211
58	0.4376715088
59	0.4370784098
60	0.4359984131
61	0.4356127116
62	0.4353778076
63	0.4348589681
64	0.4341678874
65	0.4339512533
66	0.4332520345
67	0.4328945312
68	0.431713623
69	0.4307017415
70	0.4299190674
71	0.4285922038
72	0.428376709
73	0.4277195638
74	0.4272977702
75	0.4265711263
76	0.4261344401
77	0.4257080078
78	0.4251005046
79	0.4243315023
80	0.4234130452
81	0.4225383708
82	0.4218722738
83	0.421020223
84	0.4205943604
85	0.4198687337
86	0.4192469482
87	0.4187091471
88	0.4179003906
89	0.4176260579
90	0.4172491862
91	0.4170253499
92	0.416443807
93	0.4158354085
94	0.4153027344
95	0.4148354899
96	0.4143162842
97	0.4139783529
98	0.4134263509
99	0.4131403809
