iter	Passed	Remaining
0	132	13086
1	135	6627
2	138	4471
3	141	3391
4	144	2743
5	147	2311
6	150	2004
7	154	1771
8	157	1590
9	160	1445
10	163	1326
11	167	1225
12	170	1139
13	173	1065
14	176	1001
15	179	944
16	183	894
17	186	850
18	189	809
19	192	771
20	196	738
21	199	708
22	203	680
23	206	654
24	210	630
25	213	607
26	216	585
27	219	565
28	223	546
29	226	528
30	230	512
31	233	495
32	236	480
33	239	464
34	242	450
35	245	436
36	248	423
37	251	411
38	255	399
39	258	387
40	261	376
41	264	365
42	268	355
43	271	345
44	274	335
45	277	326
46	281	316
47	284	307
48	287	298
49	290	290
50	294	282
51	297	274
52	301	266
53	304	259
54	308	252
55	311	245
56	314	237
57	318	230
58	321	223
59	324	216
60	328	209
61	331	203
62	334	196
63	337	189
64	340	183
65	343	177
66	346	170
67	349	164
68	353	158
69	356	152
70	360	147
71	364	141
72	367	135
73	371	130
74	375	125
75	378	119
76	383	114
77	387	109
78	390	103
79	393	98
80	398	93
81	401	88
82	405	83
83	409	77
84	412	72
85	415	67
86	418	62
87	422	57
88	425	52
89	428	47
90	432	42
91	435	37
92	439	33
93	442	28
94	459	24
95	463	19
96	468	14
97	471	9
98	475	4
99	478	0
